nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,1,0,400Gbps,1ns
0,1,2,0,400Gbps,1ns
0,2,3,0,400Gbps,1ns
0,3,4,0,400Gbps,1ns
0,4,8,0,400Gbps,1ns
0,5,12,0,400Gbps,1ns
1,1,2,1,400Gbps,1ns
1,2,3,1,400Gbps,1ns
1,3,5,0,400Gbps,1ns
1,4,9,0,400Gbps,1ns
1,5,13,0,400Gbps,1ns
2,2,3,2,400Gbps,1ns
2,3,6,0,400Gbps,1ns
2,4,10,0,400Gbps,1ns
2,5,14,0,400Gbps,1ns
3,3,7,0,400Gbps,1ns
3,4,11,0,400Gbps,1ns
3,5,15,0,400Gbps,1ns
4,1,8,1,400Gbps,1ns
4,2,12,1,400Gbps,1ns
4,3,5,1,400Gbps,1ns
4,4,6,1,400Gbps,1ns
4,5,7,1,400Gbps,1ns
5,2,6,2,400Gbps,1ns
5,3,7,2,400Gbps,1ns
5,4,9,1,400Gbps,1ns
5,5,13,1,400Gbps,1ns
6,3,7,3,400Gbps,1ns
6,4,10,1,400Gbps,1ns
6,5,14,1,400Gbps,1ns
7,4,11,1,400Gbps,1ns
7,5,15,1,400Gbps,1ns
8,2,12,2,400Gbps,1ns
8,3,9,2,400Gbps,1ns
8,4,10,2,400Gbps,1ns
8,5,11,2,400Gbps,1ns
9,3,13,2,400Gbps,1ns
9,4,10,3,400Gbps,1ns
9,5,11,3,400Gbps,1ns
10,4,11,4,400Gbps,1ns
10,5,14,2,400Gbps,1ns
11,5,15,2,400Gbps,1ns
12,3,13,3,400Gbps,1ns
12,4,14,3,400Gbps,1ns
12,5,15,3,400Gbps,1ns
13,4,14,4,400Gbps,1ns
13,5,15,4,400Gbps,1ns
14,5,15,5,400Gbps,1ns
