taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId
0,0,16,1048576,URMA_WRITE,7,10ns,0,,0,0
1,1,17,1048576,URMA_WRITE,7,10ns,0,,0,1
2,2,18,1048576,URMA_WRITE,7,10ns,0,,1,0
3,3,19,1048576,URMA_WRITE,7,10ns,0,,1,1
4,4,20,524288,URMA_READ,7,20ns,0,,2,0
5,5,21,524288,URMA_READ,7,20ns,0,,2,1
6,6,22,524288,URMA_READ,7,20ns,0,,3,0
7,7,23,524288,URMA_READ,7,20ns,0,,3,1
8,8,24,786432,URMA_WRITE,7,30ns,0,,4,0
9,8,25,786432,URMA_WRITE,7,30ns,0,,4,1
10,8,26,786432,URMA_WRITE,7,30ns,0,,4,2
11,8,27,786432,URMA_WRITE,7,30ns,0,,4,3
12,12,28,262144,URMA_READ,7,40ns,0,,5,0
13,13,29,262144,URMA_READ,7,40ns,0,,5,1
14,14,30,262144,URMA_READ,7,40ns,0,,5,2
15,15,31,262144,URMA_READ,7,40ns,0,,5,3
