nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,32,0,400Gbps,20ns
1,0,32,1,400Gbps,20ns
2,0,32,2,400Gbps,20ns
3,0,32,3,400Gbps,20ns
4,0,32,4,400Gbps,20ns
5,0,32,5,400Gbps,20ns
6,0,32,6,400Gbps,20ns
7,0,32,7,400Gbps,20ns
8,0,33,0,400Gbps,20ns
9,0,33,1,400Gbps,20ns
10,0,33,2,400Gbps,20ns
11,0,33,3,400Gbps,20ns
12,0,33,4,400Gbps,20ns
13,0,33,5,400Gbps,20ns
14,0,33,6,400Gbps,20ns
15,0,33,7,400Gbps,20ns
16,0,34,0,400Gbps,20ns
17,0,34,1,400Gbps,20ns
18,0,34,2,400Gbps,20ns
19,0,34,3,400Gbps,20ns
20,0,34,4,400Gbps,20ns
21,0,34,5,400Gbps,20ns
22,0,34,6,400Gbps,20ns
23,0,34,7,400Gbps,20ns
24,0,35,0,400Gbps,20ns
25,0,35,1,400Gbps,20ns
26,0,35,2,400Gbps,20ns
27,0,35,3,400Gbps,20ns
28,0,35,4,400Gbps,20ns
29,0,35,5,400Gbps,20ns
30,0,35,6,400Gbps,20ns
31,0,35,7,400Gbps,20ns
32,8,36,0,400Gbps,20ns
32,9,37,0,400Gbps,20ns
32,10,38,0,400Gbps,20ns
32,11,39,0,400Gbps,20ns
32,12,40,0,400Gbps,20ns
32,13,41,0,400Gbps,20ns
32,14,42,0,400Gbps,20ns
32,15,43,0,400Gbps,20ns
33,8,36,1,400Gbps,20ns
33,9,37,1,400Gbps,20ns
33,10,38,1,400Gbps,20ns
33,11,39,1,400Gbps,20ns
33,12,40,1,400Gbps,20ns
33,13,41,1,400Gbps,20ns
33,14,42,1,400Gbps,20ns
33,15,43,1,400Gbps,20ns
34,8,36,2,400Gbps,20ns
34,9,37,2,400Gbps,20ns
34,10,38,2,400Gbps,20ns
34,11,39,2,400Gbps,20ns
34,12,40,2,400Gbps,20ns
34,13,41,2,400Gbps,20ns
34,14,42,2,400Gbps,20ns
34,15,43,2,400Gbps,20ns
35,8,36,3,400Gbps,20ns
35,9,37,3,400Gbps,20ns
35,10,38,3,400Gbps,20ns
35,11,39,3,400Gbps,20ns
35,12,40,3,400Gbps,20ns
35,13,41,3,400Gbps,20ns
35,14,42,3,400Gbps,20ns
35,15,43,3,400Gbps,20ns
