nodeId,dstNodeId,dstPortId,outPorts,metrics
8,0,0,0,1
8,1,0,1,1
8,2,0,2 3 4 5,3 3 3 3
8,3,0,2 3 4 5,3 3 3 3
8,4,0,2 3 4 5,3 3 3 3
8,5,0,2 3 4 5,3 3 3 3
8,6,0,2 3 4 5,3 3 3 3
8,7,0,2 3 4 5,3 3 3 3
9,0,0,2 3 4 5,3 3 3 3
9,1,0,2 3 4 5,3 3 3 3
9,2,0,0,1
9,3,0,1,1
9,4,0,2 3 4 5,3 3 3 3
9,5,0,2 3 4 5,3 3 3 3
9,6,0,2 3 4 5,3 3 3 3
9,7,0,2 3 4 5,3 3 3 3
10,0,0,2 3 4 5,3 3 3 3
10,1,0,2 3 4 5,3 3 3 3
10,2,0,2 3 4 5,3 3 3 3
10,3,0,2 3 4 5,3 3 3 3
10,4,0,0,1
10,5,0,1,1
10,6,0,2 3 4 5,3 3 3 3
10,7,0,2 3 4 5,3 3 3 3
11,0,0,2 3 4 5,3 3 3 3
11,1,0,2 3 4 5,3 3 3 3
11,2,0,2 3 4 5,3 3 3 3
11,3,0,2 3 4 5,3 3 3 3
11,4,0,2 3 4 5,3 3 3 3
11,5,0,2 3 4 5,3 3 3 3
11,6,0,0,1
11,7,0,1,1
12,0,0,0,2
12,1,0,0,2
12,2,0,1,2
12,3,0,1,2
12,4,0,2,2
12,5,0,2,2
12,6,0,3,2
12,7,0,3,2
13,0,0,0,2
13,1,0,0,2
13,2,0,1,2
13,3,0,1,2
13,4,0,2,2
13,5,0,2,2
13,6,0,3,2
13,7,0,3,2
14,0,0,0,2
14,1,0,0,2
14,2,0,1,2
14,3,0,1,2
14,4,0,2,2
14,5,0,2,2
14,6,0,3,2
14,7,0,3,2
15,0,0,0,2
15,1,0,0,2
15,2,0,1,2
15,3,0,1,2
15,4,0,2,2
15,5,0,2,2
15,6,0,3,2
15,7,0,3,2
