nodeId,dstNodeId,dstPortId,outPorts,metrics
0,1..1,0,0,2
0,2..7,0,0,4
1,0..0,0,0,2
1,2..7,0,0,4
2,0..1,0,0,4
2,3..3,0,0,2
2,4..7,0,0,4
3,0..1,0,0,4
3,2..2,0,0,2
3,4..7,0,0,4
4,0..3,0,0,4
4,5..5,0,0,2
4,6..7,0,0,4
5,0..3,0,0,4
5,4..4,0,0,2
5,6..7,0,0,4
6,0..5,0,0,4
6,7..7,0,0,2
7,0..5,0,0,4
7,6..6,0,0,2
8,0,0,0,1
8,1,0,1,1
8,2..7,0,2 3,3 3
9,2,0,0,1
9,3,0,1,1
9,0..1,0,2 3,3 3
9,4..7,0,2 3,3 3
10,4,0,0,1
10,5,0,1,1
10,0..3,0,2 3,3 3
10,6..7,0,2 3,3 3
11,6,0,0,1
11,7,0,1,1
11,0..5,0,2 3,3 3
12,0..1,0,0,2
12,2..3,0,1,2
12,4..5,0,2,2
12,6..7,0,3,2
13,0..1,0,0,2
13,2..3,0,1,2
13,4..5,0,2,2
13,6..7,0,3,2
