taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,262144,URMA_WRITE,7,10ns,0,
1,1,2,262144,URMA_WRITE,7,10ns,0,
2,2,3,262144,URMA_WRITE,7,10ns,0,
3,3,0,262144,URMA_WRITE,7,10ns,0,
4,0,2,262144,URMA_WRITE,7,10ns,0,
5,1,3,262144,URMA_WRITE,7,10ns,0,
6,2,0,262144,URMA_WRITE,7,10ns,0,
7,3,1,262144,URMA_WRITE,7,10ns,0,
8,0,3,262144,URMA_WRITE,7,10ns,1,0
9,1,0,262144,URMA_WRITE,7,10ns,1,0
10,2,1,262144,URMA_WRITE,7,10ns,1,0
11,3,2,262144,URMA_WRITE,7,10ns,1,0
12,4,5,262144,URMA_WRITE,7,10ns,2,
13,5,6,262144,URMA_WRITE,7,10ns,2,
14,6,7,262144,URMA_WRITE,7,10ns,2,
15,7,4,262144,URMA_WRITE,7,10ns,2,
16,4,6,262144,URMA_WRITE,7,10ns,2,
17,5,7,262144,URMA_WRITE,7,10ns,2,
18,6,4,262144,URMA_WRITE,7,10ns,2,
19,7,5,262144,URMA_WRITE,7,10ns,2,
20,4,7,262144,URMA_WRITE,7,10ns,3,2
21,5,4,262144,URMA_WRITE,7,10ns,3,2
22,6,5,262144,URMA_WRITE,7,10ns,3,2
23,7,6,262144,URMA_WRITE,7,10ns,3,2
